product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
"Scotch
Whisky of Scotland In Fact";None;None;['11.95'];None;None;The 2011 update of Sir Robert Bruce Lockhart's Scotch: Whisky of Scotland in Fact. The book describes the author's family's involvement with the Balmenach distillery in Scotland and other less well known incidents.
"Bohemia Crystal
Whisky Decanter Square";None;None;['69.95'];None;None;A square Bohemia crystal decanter that will hold up to a 80cl of whisky, though other uses are, of course, possible.
"Bruichladdich 1984
Whisky of Mass Distinction";None;None;[];['857.14'];FREE UK Mainl;
"Quartermaster 11 Year Old
Whisky Works";4;['1'];['73.95'];['105.64'];None;Part of the second wave of Whisky Works whiskies in 2019, Quartermaster is an 11-year-old blended Scotch whisky, comprised of Highland grain whiskies and Speyside single malts, each matured and finished in different ways. The grain component has been matured in ex-rum casks and finished in Pedro Ximénez sherry casks, while the rest has been matured in a combination of American white oak casks and sherry butts. Fruity aromas of rum-steeped peaches, ground ginger and coffee fill the nose, while the palate offers notes of rich nuts, dried dates, raisins and orange peel.
"Bowmore 1998
19 Year Old Whisky Agency for TWE";None;None;[];[];FREE UK Mainl;"A fruity 19-year-old Bowmore bottled by German independent The Whisky Agency exclusively for us here at The Whisky Exchange. Run through with smoky maritime character, it's got piles of fresh fruit as well, harking back to old-school Bowmore. A great dram that shows off our favourite style of Bowmore.

Tasting Notes (1)"
"Mackmyra Intelligens
AI Whisky";None;['1'];['58.95'];['84.21'];None;Intelligens is a Swedish single malt from Mackmyra distillery, created using artificial intelligence (AI) to determine the combination of casks used. Aromas of toffee, vanilla, apples, pears, citrus and ginger spice fill the nose, and the palate offers notes of oak spice, raisins, stewed pears, zesty orange, tobacco leaves and a whisper of smoke.
"Mackmyra Bee
Honey Whisky Liqueur";None;['4'];['27.95'];['55.90'];None;"Bee is a combination of Swedish whisky, malt vodka and organic honies. The honey is collected from the surrounding area (Gävle and Valbo) and is a mixture of dandelion, linden and forest honies, with some raspberry flowers. Best enjoyed either chilled as an aperitif, or at the end of a meal.

Tasting Notes (2)"
"Cambus 1990
29 Year Old Whisky Trail Video Games";None;None;[];['214.29'];FREE UK Mainl;A 1990 Cambus single grain whisky from indie bottler Elixir Distillers, matured for 29 years in a single hogshead before being bottled in June 2020 as part of its Whisky Trail Video Games series. Aromas of fresh grass, buttery biscuits, lemon, white chocolate and oak spice fill the nose. The palate offers notes of candy apples, hazelnuts, crystalised pineapple, milk chocolate-covered honeycomb and fragrant chamomile tea.
"Glenrothes 1989
30 Year Old Whisky Trail Retro Cars";None;['1'];[];['392.86'];FREE UK Mainl;"A 1989 Glenrothes single malt from indie bottler Elixir Distillers' Whisky Trail Vintage cars series, bottled in October 2019 after 30 years in a single hogshead. Aromas of freshly-waxed wood, tropical fruit, oatcakes and cinnamon buns fill the nose. The palate offers notes of toasted brioche, Madeira, pineapple and dried mango.

Tasting Notes (1)"
"Port Ellen 25 Year Old
Whiskymessen.dk";None;None;[];['214.29'];FREE UK Mainl;This incredibly rare Port Ellen was specially bottled for Whiskymessen, the biggest whisky event in Denmark that has been running since 2001. With only 36 bottles ever made, this is a must have for every Port Ellen collector.
"Bunnahabhain 1989
27 Year Old Whisky Agency TWE";None;None;[];['357.14'];FREE UK Mainl;"Delicate and complex, this long-aged Bunnahabhain will delight any fan of unpeated Islay whisky. Mineral, seaside notes are joined by red fruits and raspberry, enlivened with just a touch of lemon. The definition of restrained elegance. This limited-edition bottling has been created exclusively for us by independent German bottlers The Whisky Agency.

Tasting Notes (1)"
"Williams & Sons
Highland Whisky Glass Samovar & Dispenser";None;None;[];None;FREE UK Mainl;
"Miltonduff 1999
20 Year Old The Whisky Exchange";None;None;[];['157.14'];FREE UK Mainl;"Twenty years in a hogshead can work magic on a whisky, and this dram from Miltonduff shows off quite how the marriage of oak and time can let a whisky sing. Light, delicate and floral, the wood has lightly kissed the spirit, giving it a little bit of colour and spice, while letting the floral and fruity Miltonduff spirit develop over two decades. A style of whisky we don't see often enough these days.

Tasting Notes (1)"
"Glenburgie 1998
21 Year Old The Whisky Exchange";None;None;[];['171.43'];FREE UK Mainl;"A 1998 Glenburgie from The Whisky Exchange, matured in a single hogshead for 21 years before being bottled in 2019. Aromas of tinned fruit and cocktail cherries burst forward on the nose, followed by oak, pineapple, barley sugar and candied lemon. The palate offers notes of boiled sweets, sour apples and underripe pears, with hints of waxy furniture polish underneath.

Tasting Notes (1)"
"Aberlour 1993
25 Year Old The Whisky Exchange";None;None;[];['284.29'];FREE UK Mainl;"After a quarter of a century in an ex-bourbon hogshead, this 1993 Aberlour single malt was bottled in 2019 by The Whisky Exchange. A sweet, fruity Speyside whisky, it offers aromas of poached pears, apple, buttery shortbread and cinnamon, while the palate offers notes of nutmeg, ginger, Victoria sponge, sultanas and caramel.

Tasting Notes (1)"
"Arran 21 Years Old
Whisky Show 2018";None;['1'];[];[];FREE UK Mainl;"A rich and spicy Arran, selected and bottled specially for The Whisky Exchange Whisky Show's 10th Anniversary. At 21 years old, it's almost as old as Arran gets – the distillery started production in 1995 – and the age has helped create an integrated dram, with layers of spice and fruit.

Tasting Notes (1)"
"Caol Ila 1999
The Whisky Trail";None;None;['59.95'];['85.64'];None;A 1999 vintage Caol Ila bottled by The Whisky Trail in 2011. Briny smoke, like a bonfire on the beach, medium-bodied with a slightly spicy finish - a great session whisky.
"Ardmore 2011
9 Year Old Watt Whisky";None;None;['71.95'];['102.79'];None;A 2011 Ardmore single malt from independent bottler Watt Whisky, matured in a single cask for nine years, before being bottled in 2021. The palate offers notes of pine needles, liquorice, toasted marshmallows and damp ash that linger in the finish.
"Balcones 2016
4 Year Old Simply Whisky Dream Big";None;['6'];['84.95'];['121.36'];None;A 2016 Balcones American corn whiskey from Simply Whisky, matured for four years in a refill bourbon barrel before being bottled in December 2020.
"Inchgower 2007
13 Year Old Watt Whisky";None;None;['60.95'];['87.07'];None;A 2007 Inchgower single malt from indie bottler Watt Whisky, matured in a single ex-bourbon hogshead for 13 years before being bottled in 2020 as part of the second wave of whiskies from Watt Whisky. The palate offers notes of honey, sweet peppers, green olives, butterscotch and gingerbread that linger in the finish.
"Glenlossie 2009
11 Year Old The Whisky Exchange";4;['1'];['64.95'];['92.79'];None;"Matured in a barrel and limited to just 200 bottles, this is a fresh and fruity Glenlossie loaded with sweet apple and pear notes, hints of mango and pineapple, and robust nutty notes. Sure to bring a little sunshine to your glass, whatever the season.

Tasting Notes (1)"
"20 Year Old Speyside Cognac Finish
Whisky Works";None;['1'];[];['214.29'];FREE UK Mainl;"Part of the second wave of whiskies from independent bottler Whisky Works, this Speyside single malt was distilled at a lost distillery in Carron, Imperial and matured in American oak for two decades before it was finished for seven months in 20-year-old Cognac casks from the Bourgin Estate in southwest France. Bottled in 2019, this is a sweet, floral whisky, with aromas of citrus, violets and sweet, grassy herbal notes on the nose. The palate offers notes of creamy milk chocolate, golden syrup, ginger and strawberries & cream.

Tasting Notes (1)"
"Arran 2011
5 Year Old Peated Whisky Agency";None;None;['82.95'];['118.50'];None;A heavily-peated single-cask Arran bottled by The Whisky Agency for The Whisky Fair - a world-renowned annual event in Limburg, Germany. Aged in a single bourbon cask and peated to 50ppm, this is a great whisky for those who want to see what Arran's Machrie Moor would be like with a bucket-load of extra peat.
"Linkwood 2007
13 Year Old Watt Whisky";None;None;['67.95'];['97.07'];None;A 2007 Linkwood single malt from indie bottler Watt Whisky, matured in a single hogshead for 13 years, before being bottled in 2021. The palate offers notes of almonds, pistachios, icing sugar, mint and fudge that linger in the finish.
"Langatun Old Bear
Smoky Whisky Cask Proof";None;None;['68.75'];['137.50'];None;A softly smoky Swiss single malt from Langatun distillery, Old Bear is made with peated malt and is matured in ex-Châteauneuf-du-Pape wine casks. Fresh smoke fills the nose, alongside aromas of red fruits and waxy orange. The palate offers notes of juicy grapes, toffee and wood smoke that develop into dark chocolate and smouldering peat fires that linger in the finish.
"Glentauchers 1997
21 Year Old The Whisky Exchange";None;['1'];[];['192.86'];FREE UK Mainl;"Matured in a single ex-bourbon barrel for 21 years, this 1997 Glentauchers has been bottled by The Whisky Exchange in 2019. A fruity, spicy Speyside single malt, aromas of waxy apples, summer fruits and oak compliment notes of apple pie, cinnamon, apricot jam and liquorice on the palate.

Tasting Notes (1)"
"Arran 2011
5 Year Old Peated Whisky Agency";None;None;['82.95'];['118.50'];None;A heavily-peated single-cask Arran bottled by The Whisky Agency for The Whisky Fair - a world-renowned annual event in Limburg, Germany. Aged in a single bourbon cask and peated to 50ppm, this is a great whisky for those who want to see what Arran's Machrie Moor would be like with a bucket-load of extra peat.
"Tomintoul 2010
10 Year Old Watt Whisky";None;None;['66.95'];['95.64'];None;A 2010 Tomintoul single malt from indie bottler Watt Whisky, matured in a refill butt for a decade, before being bottled in 2021. The palate offers notes of vanilla cream, butterscotch, marzipan, cashew nuts and raisins that linger in the finish.
"Something Special
De Luxe Whisky Bot.1980s";None;None;[];[];FREE UK Mainl;
"McDowell's
Indian Single Malt Whisky";None;None;[];[];FREE UK Mainl;
"Mannochmore 2008
12 Year Old Watt Whisky";4;['2'];['61.95'];['88.50'];None;A 2008 Mannochmore single malt from indie bottler Watt Whisky, matured in a pair of hogsheads of 12 years and rested in an ex-brandy butt for three months before being bottled in 2020. Its a creamy, nutty whisky, with notes of roast hazelnuts, honeycomb and fresh ginger throughout the palate.
"Bunnahabhain 1997
22 Year Old The Whisky Exchange";None;['1'];[];['357.14'];FREE UK Mainl;"Malt loaf, menthol and fresh, mineral high notes are layered atop notes of rich dried fruit, dark chocolate and loamy foundations in this Bunnahabhain, matured in a single hogshead and limited to just 174 bottles.

Tasting Notes (1)"
"Littlemill 1989
21 Year Old The Whisky Agency";None;None;[];['999.99'];FREE UK Mainl;
"Littlemill 1990
23 Year Old The Whisky Agency";None;None;[];['857.14'];FREE UK Mainl;
"Glaswegian Single Grain 29 Year Old
Whisky Works";None;['1'];[];['182.86'];FREE UK Mainl;A classic whisky from a now-silent grain distillery, which once stood at the heart of Glasgow’s waterways. Matured for 29 years in American white-oak casks, this light grain whisky has developed a wonderfully balanced, sweet character full of butterscotch, vanilla and exotic fruity flavours.
"Lochside 1967
45 Year Old Finest Whisky";None;None;[];['857.15'];FREE UK Mainl;
"Irish Single Malt XO
Whisky Agency";None;None;[];['214.29'];FREE UK Mainl;This Irish single malt whiskey was bottled in 2017 by German bottler The Whisky Agency in celebration of Maltstock festival. A sweet and spicy whiskey, it has notes of crystalised ginger, caramel and black pepper throughout the palate.
"Lauder's
Royal Northern Cream Whisky Bot.1960s";None;None;[];['233.33'];FREE UK Mainl;
"Something Special
De Luxe Whisky Bot.1970s";None;None;[];['233.33'];FREE UK Mainl;
"Strathisla 1967
42 Year Old The Whisky Agency";None;None;[];['714.29'];FREE UK Mainl;A very long-aged Strathisla 1967, bottled in 2009 at 42 years old from a single bourbon hogshead by The Whisky Agency at its natural cask strength of 44.5%.
"John O'Groat's
Scots Liqueur Whisky Bot.1970s";None;None;[];[];FREE UK Mainl;A 1970s bottling of John O'Groats liqueur whisky.
"Port Ellen 1982
Parkers Whisky";None;None;[];['142.86'];FREE UK Mainl;Another indie Port Ellen with an eccentric label, this time featuring a lovely pair of melons on the front.
"Ledaig 2005 Miniature
13 Year Old The Whisky Exchange";None;None;['10.95'];['21.90'];None;A miniature bottle of 2005 Ledaig single malt from The Whisky Exchange, matured in a single sherry butt for 13 years before being bottled in 2019. Peaty aromas of damp grass, tar, dried mango, sherbet lemons and chocolate fill the nose, with hints of fresh mint underneath. The palate offers notes of smouldering embers, dark chocolate, cinder toffee, singed fruit cake and black liquorice.
"Caol Ila 2010
10 Year Old Watt Whisky";None;None;['67.95'];['97.07'];None;A 2010 Caol Ila single malt from indie bottler Watt Whisky, matured in a hogshead for a decade before being bottled in 2021. The palate offers notes of wet bonfire ash, medicinal peat, cream, pear and salty liquorice that linger in the finish.
"Imperial 1995
23 Year Old TWE Miniature Whisky Show Magic 2019";None;None;['19.95'];['39.90'];None;A miniature bottle of 1995 Imperial single maltr initially released at Whisky Show 2019 as part of our Magic of the Cask series, it has spent 23 years in a single refill bourbon barrel, before being bottled in 2019. Aromas of sugared almonds, biscuits, lemon curd and meadow flowers fill the nose. The palate offers notes of candy bracelets, sweet cream, cinnamon, buttermints and lemon zest.
"Glen Elgin 2008
12 Year Old The Whisky Exchange";None;['2'];['69.95'];['99.93'];None;"Matured in a single hogshead for 12 years, this is a richly-fruity whisky in which zesty citrus fruits and jammy orchard-fruit notes marry with fresh bread, airy menthol and earthy cocoa. A rounded and multi-dimensional Speysider.

Tasting Notes (1)"
"Ichiro's Malt & Grain
World Blended Whisky 2020 Blue Label";None;None;[];['264.29'];FREE UK Mainl;A limited-edition Ichiro's Malt & Grain from Chichibu, released in 2020, this world blended whisky has been made with a combination of casks from around the globe, creating a sweet, spicy and complex character. The palate offers notes of caramel, toffee, shortbread biscuits, lemon curd, pine needles and sweet blossoms that linger in the finish.
"Glenburgie 1998 Miniature
21 Year Old The Whisky Exchange";None;None;['13.95'];['27.90'];None;A miniature bottle of 1998 Glenburgie from The Whisky Exchange, matured in a single hogshead for 21 years before being bottled in 2019. Aromas of tinned fruit and cocktail cherries burst forward on the nose, followed by oak, pineapple, barley sugar and candied lemon. The palate offers notes of boiled sweets, sour apples and underripe pears, with hints of waxy furniture polish underneath.
"Glentauchers 1997 Miniature
21 Year Old The Whisky Exchange";None;None;['14.95'];['29.90'];None;Matured in a single ex-bourbon barrel for 21 years, this miniature bottle of 1997 Glentauchers has been bottled by The Whisky Exchange. A fruity, spicy Speyside single malt, aromas of waxy apples, summer fruits and oak compliment notes of apple pie, cinnamon, apricot jam and liquorice on the palate.
"Aberlour 1993 Miniature
25 Year Old The Whisky Exchange";None;None;['22.95'];['45.90'];None;After a quarter of a century in an ex-bourbon hogshead, this miniature of 1993 Aberlour single malt was bottled in 2019 by The Whisky Exchange. A sweet, fruity Speyside whisky, it offers aromas of poached pears, apple, buttery shortbread and cinnamon, while the palate offers notes of nutmeg, ginger, Victoria sponge, sultanas and caramel.
"Clarendon Rum 2004
16 Year Old Watt Whisky";None;None;[];['164.29'];FREE UK Mainl;A 2004 Clarendon Estate rum from indie bottler Watt Whisky, matured in a single barrel for 16 years, before being bottled in 2021. The palate offers notes of ripe strawberries, satsumas, engine oil, liquorice and flint that linger in the finish.
"Miltonduff 1999 Miniature
20 Year Old The Whisky Exchange";None;None;['12.95'];['25.90'];None;Twenty years in a hogshead can work magic on a whisky, and this dram from Miltonduff shows off quite how the marriage of oak and time can let a whisky sing. Light, delicate and floral, the wood has lightly kissed the spirit, giving it a little bit of colour and spice, while letting the floral and fruity Miltonduff spirit develop over two decades. A style of whisky we don't see often enough these days.
"Port Dundas 2000
20 Year Old Watt Whisky";None;None;['84.95'];['121.36'];None;A 2000 Port Dundas single grain whisky from indie bottler Watt Whisky, matured in a single cask for two decades, before being bottled in 2021. The palate offers notes of gingerbread, salted caramel, burnt oranges and cream that linger in the finish.
"Paul John 2016
4 Year Old Watt Whisky";None;None;['84.95'];['121.36'];None;A 2016 Paul John Indian single malt from indie bottler Watt Whisky, matured in a single barrel for four years, before being bottled in 2021. The palate offers notes of tropical fruits, cloves, cinnamon, vanilla, ginger and plums that linger in the finish.
"Dailuaine 2008 Sample
12 Year Old Watt Whisky";None;['1'];['5.95'];['19.83'];None;A Perfect Measure sample bottle of a 2008 Dailuaine single malt from indie bottler Watt Whisky, matured in a single ex-bourbon hogshead for 12 years before being bottled as part of its second ever release of whiskies. The palate offers notes of almonds, liquorice, allspice, lime zest, pineapple and soft brown sugar that linger in the finish.
"Ichiro's Malt & Grain
Japanese Blended Whisky 2020";None;None;[];['857.14'];FREE UK Mainl;A limited-edition bottling of Ichiro's Malt & Grain Japanese blended whisky from Chichibu, released in 2020, is classic and sweet with notes of fresh mint, sticky toffee pudding and wisps of peat smoke throughout the palate.
"Speyside blended Malt 1973
45 Year Old Whisky Show Magic";None;None;['39.95'];['79.90'];None;Released at Whisky Show 2019 as part of our Magic of the Cask series, this 1973 Speyside blended malt has been matured in a single sherry butt for 45 years, before being bottled in 2019. Aromas of brown sugar and fruitcake open on the nose, followed by brown bread with butter, maraschino cherries, raisins, cinnamon-baked apples, dried mango and rich, earthy aromas. The palate offers notes of toasted oak, baked apples, sultanas, bitter char, soft spice and light fruitcake.
"Ichiro's Malt & Grain
World Blended Whisky 2018 Limited Edition";None;None;[];['392.86'];FREE UK Mainl;A limited-edition World blended whisky from Chichibu, made with a selection of whiskies from Japan and from around the world.
"Smokey Joe
Islay Blended Malt Whisky";None;['4'];['31.95'];['45.64'];None;Smokey Joe is a blended Islay malt from Angus Dundee, owners of Tomintoul and Glencadam. As the name suggests, this is a smoky whisky with a hint of sweetness and a touch of lemon.
"Macallan 1990
Bot.2011 The Whisky Trail";None;None;[];['714.29'];FREE UK Mainl;A 1990 vintage Macallan bottled by Speciality Drinks for their The Whisky Trail range in 2011. Rich fruit and oak flavours and a fantastically accessible, smooth, easy-drinking style make this great value for money compared to the official bottlings.
"Tomintoul 2010
10 Year Old Sample Watt Whisky";None;None;['6.75'];['22.50'];None;A Perfect Measure sample bottle of a 2010 Tomintoul single malt from indie bottler Watt Whisky, matured in a refill butt for a decade, before being bottled in 2021. The palate offers notes of vanilla cream, butterscotch, marzipan, cashew nuts and raisins that linger in the finish.
"Springbank 1993 Miniature
26 Year Old The Whisky Exchange";None;None;['49.95'];['99.90'];None;Matured in a single hogshead for 26 years, this miniature bottle of 1993 Springbank single malt was bottled in 2019 by The Whisky Exchange. A smoky, spicy Campbeltown whisky, aromas of earthy smoke and waxed jackets are balanced by notes of orchard fruit, gentle spice and clove throughout the palate.
"Speyside Blended Malt 1973
45 Year Old Whisky Show 2019";None;['1'];[];['607.14'];FREE UK Mainl;"Released at Whisky Show 2019 as part of our Magic of the Cask series, this 1973 Speyside blended malt has been matured in a single sherry butt for 45 years, before being bottled in 2019. Aromas of brown sugar and fruitcake open on the nose, followed by brown bread with butter, maraschino cherries, raisins, cinnamon-baked apples, dried mango and rich, earthy aromas. The palate offers notes of toasted oak, baked apples, sultanas, bitter char, soft spice and light fruitcake.

Tasting Notes (1) 

Please note


Please note that this bottle will be shipped with a small UV torch. Shine it on the label to reveal the full magic of the cask..."
"Port Ellen 1983
28 Year Old The Whisky Trail";None;None;[];['785.71'];FREE UK Mainl;
"Glaswegian Single Grain 29 Year Old Sample
Whisky Works";None;['1'];['10.75'];['35.83'];None;A Perfect Measure sample bottle of a classic whisky from a now-silent grain distillery, which once stood at the heart of Glasgow’s waterways. Matured for 29 years in American white-oak casks, this light grain whisky has developed a wonderfully balanced, sweet character full of butterscotch, vanilla and exotic fruity flavours.
"Savoy Hotel London
Blended Scotch Whisky Bot.1960s";None;None;[];['265.33'];FREE UK Mainl;
"King of Trees Highland 10 Year Old
Whisky Works";None;None;['73.95'];['105.64'];None;This blend of Highland malts was initially matured in first-fill bourbon barrels and refill American white-oak casks, before a portion of the blend was finished in a specially-crafted Scottish oak casks. This resulted in a bold streak of orchard fruits throughout the palate, alongside a classic Highland character, with soft spices and ripe fruits.
"Gooderham & Worts 1941
Special Canadian Whisky";None;None;[];['428.57'];FREE UK Mainl;
"Benromach 2010
10 Year Old Exclusive To The Whisky Exchange";None;None;['79.95'];['114.21'];None;"An 2010 vintage from Benromach, specially selected by The Whisky Exchange team exclusively for us. It was matured in a first-fill bourbon barrel, giving the gently smoky spirit a creamy character that's complimented by fresh and cooked apples, chocolate, spice and a touch of mint.

Tasting Notes (1)"
"Caol Ila 2010 Sample
10 Year Old Watt Whisky";None;None;['6.75'];['22.50'];None;A Perfect Measure sample of 2010 Caol Ila from indie bottler Watt Whisky, matured in a single hogshead and bottled in 2021. The palate offers notes of wet bonfire ash, medicinal peat, cream, pear and salty liquorice that linger in the finish.
"Highland Single Malt 2005
16 Year Old Watt Whisky";None;['1'];['87.95'];['125.64'];None;A 2005 Highland single malt from indie bottler Watt Whisky, made at a mystery distillery and matured in a refill sherry butt for 16 years before being bottled in 2021. The palate offers notes of toffee, dried fruit, pear drops, dark chocolate and honey that linger in the finish.
"Irish Single Malt 2003
16 Year Old The Whisky Agency";None;None;[];[];FREE UK Mainl;A 2003 Irish single malt from indie bottler The Whisky Agency, matured for 16 years in a single barrel, before being bottled in 2019.
"Glen Moray '93
De Luxe Scots Whisky Bot.1950s";None;None;[];[];FREE UK Mainl;
"Ardbeg Batch 1
That Boutique-y Whisky Co";None;None;[];[];FREE UK Mainl;
"Orbital 8 Year Old
World Blend Sherry Cask Whisky Magazine";None;['1'];['39.95'];['57.07'];None;Orbital is an eight-year-old blended whisky from Whisky Magazine. The samples the publication receives have been blended with an aged grain whisky and married in a Pedro-Ximenez-sherry cask. All profits from the production are being donated to the Walking With the Wounded charity. This has notes of butterscotch, manuka honey, toffee apple, biscuits and subtle warming spices.
"Admiral Rodney Officer's Release No.2 2009
Irish Whiskey Cask";None;None;['69.95'];['99.93'];None;"The second entry in Admiral Rodney's Officer's Release series, distilled in 2009 and finished in an ex-Irish whiskey cask. The nose entices you with notes of clove, allspice, baked honey, prunes and rapsberries. The palate is fruity and spicy, expertly combining cherry, blackcurrant, sweet chilli and Asian spices with a hint of saltiness to finish.

Tasting Notes (1)"
"Arran 1996 Sample
24 Year Old Exclusive To The Whisky Exchange";None;None;['14.95'];['49.83'];None;A Perfect Measure sample bottle of a 1996 Arran single malt bottled exclusively for The Whisky Exchange in March 2021 after 24 years in a single cask – record-keeping at Arran back then wasn't as good as it is today, and we don't know for certain what type of cask it is. However, after extensive taste testing, we think it's a wine cask of some kind. We can also say that we're big fans. Expect aromas of green walnut, clove-studded orange and crème caramel fill the nose, complemented by notes of cinnamon, nutmeg, fudge, toasted walnuts and fireside embers throughout the palate.
"Caol Ila 2001
19 Year Old Exclusive to The Whisky Exchange";None;None;[];[];FREE UK Mainl;"A 2001 Caol Ila single malt from indie bottler Gordon & MacPhail, matured in a single first-fill bourbon barrel for 19 years, before being bottled in March 2021 exclusively for The Whisky Exchange. Aromas of honey-glazed ham, aniseed and poached pears fill the nose, complemented by notes of black pepper, green apples and smoking bonfire embers throughout the palate.

Tasting Notes (1)"
"Highland Single Malt 2005
16 Year Old Sample Watt Whisky";None;['1'];['7.95'];['26.50'];None;A Perfect Measure sample bottle of a 2005 Highland single malt from indie bottler Watt Whisky, made at a mystery distillery and matured in a refill sherry butt for 16 years before being bottled in 2021. The palate offers notes of toffee, dried fruit, pear drops, dark chocolate and honey that linger in the finish.
"Ardmore 2009 Miniature
9 Years Old The Whisky Exchange";None;None;['6.95'];['13.90'];None;While you wouldn't necessarily expect one of Scotland's favourite smoky drams to come from the Highlands, Ardmore has been distilling peaty spirit for years and has been quietly sneaking up the leaderboard. This Aird Mhor bottling is not only a peaty dram itself, but was matured for 9 years in a cask that used to hold Laphroaig. The result is a whisky that marries together Ardmore's heathery smoke with a touch of the Islay stalwart's medicinal and fruity character. Flowers, fruit, smoke – it's got it all!
"Balblair 2005
Bot.2021 Exclusive To The Whisky Exchange";None;None;[];['207.14'];FREE UK Mainl;A 2005 Balblair single malt, matured in a single cask and bottled in 2021 exclusively for The Whisky Exchange. Aromas of ripe pears, green apples and sweet camomile fill the nose, complemented by notes of honeydew melons, lemon bon-bons, Pink Lady apples and vanilla throughout the palate, with hints of grapefruit lingering in the finish.
"Allt-a-Bhaine 1997 Sample
23 Year Old Watt Whisky";None;['1'];['9.95'];['33.17'];None;A 1997 Allt-A-Bhainne single malt from indie bottler Watt Whisky, matured in a single ex-bourbon hogshead for 23 years. Try it now with this Perfect Measure sample bottle.
"Loch Lomond 2010
10 Year Old Exclusive to The Whisky Exchange";None;None;['62.95'];['89.93'];Summer Sale B;"A 2010 Loch Lomond single malt bottled in September 2020 exclusively for The Whisky Exchange, after a decade in a single first fill bourbon barrel. It's focused around fruity flavour, with everything from the special wine yeast used to ferment it to the unique straight-necked pot stills creating and concentrating estery fruity notes. Aromas of baked apple, custard, vanilla, flapjacks and pine needles fill the nose, followed by notes of pear drops, peppermint, apple skin, brambles, black pepper and buttery pastry throughout the palate.

Tasting Notes (1)"
"Longmorn 1997 Miniature
21 Years Old The Whisky Exchange";None;None;['19.95'];['39.90'];None;After 21 years in a single hogshead, this miniature bottle of 1997 Longmorn has been bottled by The Whisky Exchange. A fruity, spicy Speyside whisky, aromas of raisins, sultanas and double cream compliment notes of sharp green apples, cinnamon and nutmeg on the palate.
"Highland Harvest
7 Casks Organic Blended Malt Whisky";None;None;['27.95'];['39.93'];None;The blended malt offering from Highland Harvest. Each batch is a blend of seven casks of Scotch Single Malt and as with the rest of their range, this is certified organic.
"Copperworks 3 Year Old
Batch 1 That Boutique-y Whisky Company";None;None;['59.95'];['119.90'];None;A three-year-old Copperworks American single malt from That Boutique-y Whisky Company, matured in virgin American oak casks. Aromas of apples, sweet oak and green spices fill the nose, complemented by notes of skittles, cask char and honey on the palate.
"Belize Rum Travellers Distillery 2007
13 Year Old Watt Whisky";None;['1'];['79.95'];['114.21'];None;A 2007 vintage rum from indie bottler Watt Whisky, distilled at Travellers Distillery in Belize and matured in an ex-bourbon barrel for eight years in Belize, before being transported to Europe for a further five years of aging. Bottled in 2020, it offers notes of toffee, liquorice, menthol and golden syrup throughout the palate.
"Balblair 2005 Sample
Bot.2021 Exclusive To The Whisky Exchange";None;None;['11.75'];['39.17'];None;A Perfect Measure sample bottle of 2005 Balblair single malt, matured in a single cask and bottled in 2021 exclusively for The Whisky Exchange. Aromas of ripe pears, green apples and sweet camomile fill the nose, complemented by notes of honeydew melons, lemon bon-bons, Pink Lady apples and vanilla throughout the palate, with hints of grapefruit lingering in the finish.
"Drouet et Fils Poc'han 2011
7 Year Old Armorik Whisky Cask Finish";None;None;['76.95'];['109.93'];None;A 2011-vintage brandy from Drouet et Fils, Poc'han has been matured in in ex-Cognac casks for five years before spending two years in ex-Amorik French whisky casks. Aromas of sweet cereals, hay and oaky spice fill the nose, complemented by notes of maple syrup, apples, apricots, stewed fruits and roasted hazelnuts.
None;None;None;;None;None;None
None;None;None;;None;None;None
Wooden Gift Box;None;None;['14.95'];None;None;"A luxurious wooden box, sized to fit most regular bottles. The perfect accompaniment for any spirits gift.


Internal Dimensions:


Height: 13.5"" (343mm)


Width: 2.6"" (67mm)


Depth: 2.3"" (60mm)."
None;None;None;;None;None;None
"A Fine Christmas Malt 2020
19 Year Old";None;['14'];['74.95'];['107.07'];None;"A sherry-aged whisky specially selected by The Whisky Exchange team to celebrate Christmas 2020. It's packed with festive spice, Christmas cake, poached orchard fruit and zingy apples – an excellent all-rounder that's perfect for sipping by the fire.


This year's Christmas Malt is once again a limited edition and 1918 bottles are available.

Tasting Notes (1)"
The English Gently Smoked Sherry Cask;None;None;['55.95'];['79.93'];None;A limited-edition single malt from The English, this softly smoky whisky has been matured in a sherry cask for seven years, before being bottled in August 2020. Soft, smoky aromas of raisins, candied orange peel, dates, marzipan, cherries and leather fill the nose, complemented on the palate by notes of dry oak spice, cinnamon, nutmeg, tobacco, cherries, dried fruit and honey, with wisps of smoke throughout.
None;None;None;;None;None;None
The English Original, Smokey,Sherry Cask Miniature Gift Pack;None;None;['23.95'];['15.97'];None;A great introduction to The English Whisky Company – a triple-pack of miniatures with a bottle each of the Original, Smokey and Sherry Cask whiskies. The ideal showcase for this excellent Norfolk-based distillery.
The Norfolk Parched Single Grain;None;['1'];['47.95'];['95.90'];None;"Part of a three-bottle series celebrating the home county of the English Whisky Co, this is a single grain whisky with notes of fresh toffee popcorn, citrus and spice.

Tasting Notes (1)"
