product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
"20 Whiskies That Changed The World Tasting Set
20x3cl";None;['2'];[];['266.67'];FREE UK Mainl;The past few decades have seen huge changes in whisky and this carefully curated tasting set dives into that recent history and gives you the chance to taste your way through the special spirits that have created the modern whisky world. Twenty whiskies, a tasting book and a pair of glasses – the perfect set to help you embark on a journey of whisky exploration and discovery. Read on to find out more…
Glencairn Whisky Glass;None;['6'];['4.95'];None;None;With its gently curved bowl that fits comfortably in the hand, tapered sides rising to a smaller nose-sized aperture and a heavy base that make it difficult to knock over, the Glencairn has the perfect combination of aesthetically pleasing looks and serious nosing functionality, while also carrying sufficient heft from its crystal glass to feel good in the hand at events. The definitive festival tasting glass of the last decade, this is a modern design classic of its genre.
The Whisky Exchange Tasting Book;None;['4'];['9.95'];None;None;We've produced our very own tasting book. A handy guide to all things whisky – including a history of whisky in quotes, an overview of the regions of Scotland, how to taste and nose whisky, a useful glossary and, of course, lots of space for tasting notes. The perfect gift for any whisky lover.
Drambuie Whisky Liqueur Miniature;None;['1'];['2.45'];['4.90'];None;A mini bottle of Drambuie, one of the most popular whisky liqueurs on the market.
"Speyside Whisky Tasting Set
6x3cl";None;None;['43.95'];['24.42'];None;Explore the world of Speyside whiskies with this Perfect Measure tasting set. From Balvenie to Blair Athol, Speyside is home to many distilleries, each with its own unique styles and flavours. This set includes a 3cl sample bottle of each of the following: Balvenie Sweet Toast Of American Oak 12 Year Old, Tomintoul 16 Year Old, Glenfiddich Fire and Cane, Cragganmore 2008 Distillers Edition 2020, Dailuaine 16 Year Old Flora & Fauna and Glenallachie 15 Year Old.
"Glencairn Whisky Glass
6 Pack";None;None;['24.95'];None;None;A 6 pack of Glencairn's specially designed whisky glasses - enough like a sherry copita to enhance the nose of the whisky while still durable, heavy in the hand and easy to drink out of.
"Japanese Whisky Tasting Set
2021 Edition 5x3cl";None;None;['39.95'];['26.63'];None;Explore Japan with this Perfect Measure tasting set. It contains one 3cl sample each of Hakushu Distiller's Reserve, Ichiro's Malt & Grain, Mars Maltage Cosmo, Nikka Coffey Grain and Yoichi. Complete with a glass and full tasting notes, this is a superb way to discover Japanese whisky, and would make a great gift, too.
"Lost Whisky Distilleries Tasting Set
6x3cl";None;None;[];['111.11'];FREE UK Mainl;"All the whiskies in this tasting set are from distilleries that have either been closed down or demolished, making them incredibly rare and sought after.


And when you sip them, remember that these are whiskies that will never be made again – a true taste of history.


This set contains a 3cl each of: Glen Esk 12 Year Old Bot.1980s | Rosebank 12 Year Old Flora & Fauna | Glen Mhor 1965 Bot.2007 Gordon & MacPhail | Lochside 1981 Murray McDavid| Banff 1982 Rare Malts | Glenury Royal 1973 Signatory."
Drambuie Whisky Liqueur;4;['109'];['29.95'];['42.79'];None;"A combination of aged Scotch whiskies, heather honey and a recipe of secret ingredients, Drambuie is one of the best-known whisky liqueurs worldwide.

Tasting Notes (1)"
"American Whiskey Tasting Set
5x3cl";None;None;['38.95'];['25.97'];None;Enter the world of American whiskey with this Perfect Measure tasting set, including a 3cl sample bottle of Jeptha Creed Straight Four Grain whiskey, Jack Daniel's White Rabbit Saloon Special Edition, Woodford Reserve Wheat, WhistlePig 10 Year Old rye whiskey and Westland Peated American single malt.
Helsinki Whiskey Rum Cask Rye Malt;None;None;['62.45'];['124.90'];None;The 14th release of rye whisky from the Helsinki Distilling Company is a vatting of three casks that were hand-selected by master blender Kai Kilpinen and has been finished in ex-rum casks from Guyana and Jamaica.
The Whisky Exchange Gift Tube;None;None;['4.95'];None;None;"A textured purple gift tube with our handsome branding* on the front. Offered as an add-on to some of our exclusive bottles, such as our own-label single-cask whiskies. It measures 300mm tall and 82mm in diameter, making it the right size for many standard whisky bottles.


*Well we would say that, wouldn't we?"
"Watt Whisky Tasting Set
6x3cl";None;None;['39.95'];['22.19'];None;"Explore the world of indie bottler Watt Whisky with this Perfect Measure tasting set that includes whiskies and rums from its latest release of bottlings. This set includes at 3cl sample bottle of each of the following: Tomintoul 2010 10 Year Old, 2010 Blended Scotch whisky 10 Year Old, Arran 2012 8 Year Old, Highland Single Malt 2005 16 Year Old, Caol Ila 2010 10 Year Old and Foursquare 2007 12 Year Old Rum.


Please note


This pack was for a virtual tasting, so does not have an insert with tasting notes. The tasting is available to watch on The Whisky Exchange Facebook page."
Glenrothes Whisky Maker's Cut Sample;4;['5'];['5.75'];['19.17'];None;A same bottle of Glenrothes Whisky Maker’s Cut, bottled by The Perfect Measure, this single malt is part of the Soleo Collection. Aged in first-fill sherry casks it has notes of oranges, vanilla, nutmeg and oak.
"World Whisky: New Flavour Dimension Tasting Set
6x3cl";None;None;['56.95'];['31.64'];None;"Whisky is a worldwide drink – you can find world-class drams being made around the globe. This tasting set celebrates the diversity of the whisky world, and includes tasting samples from England, India, Japan, Taiwan and the US.


This set contains a 3cl each of: Starward Nova (Australia) | Kavalan Concertmaster Port Finish (Taiwan) | Zuidam Millstone 12 Year Old Sherry Cask (The Netherlands) | WhistlePig 12 Year Old Amburana (USA) | Kornog Roc'h Hir (France) | New Zealand 18 Year Old Double Wood Small Batch."
Togouchi Whisky 12 Year Old;4;['1'];['81.25'];['116.07'];None;Togouchi's ageing warehouse must be one of the world's most unusual – it is an old railway tunnel in the eponymous town that was never used. This is the 12 year old, a blend of Scottish malt and Canadian grain that's fruity and citrus-rich.
Masthouse Whisky 2017 Sample;None;None;['6.45'];['21.50'];None;A Perfect Measure sample bottle of the 2017 vintage of Masthouse English whisky from Kent's Copper Rivet Distillery – matured in a combination of casks. The palate offers notes of green apples, ginger biscuits, tropical fruits, toasted oak, chocolate orange and white pepper on the palate.
"Bourbon Whiskey
Dumangin Batch 10";None;None;['70.95'];['101.36'];None;The 10th batch of smooth, sweet bourbon whiskey bottled by Specialites Dumangin J. Fils offers notes of vanilla, white pepper, sticky caramel and crunchy toffee apples.
